date,time,code,open,high,low,close,volume,amount,adjustflag
2025-01-22,20250122135500000,sh.600000,10.0300,10.0400,10.0300,10.0300,574100,5761152.0000,3
2025-01-22,20250122140000000,sh.600000,10.0300,10.0400,10.0200,10.0400,957500,9604736.0000,3
2025-01-22,20250122140500000,sh.600000,10.0400,10.0400,10.0200,10.0300,874700,8776704.0000,3
2025-01-22,20250122141000000,sh.600000,10.0400,10.0500,10.0200,10.0200,1120800,11247264.0000,3
2025-01-22,20250122141500000,sh.600000,10.0200,10.0500,10.0200,10.0400,921600,9248064.0000,3
2025-01-22,20250122142000000,sh.600000,10.0400,10.0500,10.0300,10.0400,758000,7612576.0000,3
2025-01-22,20250122142500000,sh.600000,10.0300,10.0600,10.0300,10.0500,875200,8788736.0000,3
2025-01-22,20250122143000000,sh.600000,10.0500,10.0700,10.0400,10.0600,901600,9064768.0000,3
2025-01-22,20250122143500000,sh.600000,10.0600,10.0600,10.0400,10.0500,1076100,10809568.0000,3
2025-01-22,20250122144000000,sh.600000,10.0500,10.0700,10.0400,10.0500,1119700,11255264.0000,3
2025-01-22,20250122144500000,sh.600000,10.0500,10.0600,10.0400,10.0500,992700,9974784.0000,3
2025-01-22,20250122145000000,sh.600000,10.0500,10.0600,10.0300,10.0400,1449400,14553659.0000,3
2025-01-22,20250122145500000,sh.600000,10.0400,10.0500,10.0200,10.0400,1631600,16367743.0000,3
2025-01-22,20250122150000000,sh.600000,10.0400,10.0600,10.0300,10.0300,1378200,13834374.0000,3
2025-01-23,20250123093500000,sh.600000,10.1100,10.2000,10.1000,10.1400,4200400,42649380.0000,3
2025-01-23,20250123094000000,sh.600000,10.1400,10.2500,10.1400,10.2100,5014200,51203720.0000,3
2025-01-23,20250123094500000,sh.600000,10.2100,10.2200,10.1200,10.1200,4511200,45783848.0000,3
2025-01-23,20250123095000000,sh.600000,10.1200,10.1200,10.0900,10.0900,2500000,25258528.0000,3
2025-01-23,20250123095500000,sh.600000,10.0900,10.1000,10.0600,10.0800,2341700,23600960.0000,3
2025-01-23,20250123100000000,sh.600000,10.0800,10.1000,10.0600,10.1000,1914200,19288656.0000,3
2025-01-23,20250123100500000,sh.600000,10.1000,10.1500,10.0900,10.1400,1786500,18079440.0000,3
2025-01-23,20250123101000000,sh.600000,10.1400,10.1700,10.1200,10.1700,1798200,18243440.0000,3
2025-01-23,20250123101500000,sh.600000,10.1700,10.2000,10.1600,10.1900,1587400,16161584.0000,3
2025-01-23,20250123102000000,sh.600000,10.1900,10.2000,10.1500,10.1900,1191900,12138688.0000,3
2025-01-23,20250123102500000,sh.600000,10.1900,10.2500,10.1900,10.2400,2763000,28254976.0000,3
2025-01-23,20250123103000000,sh.600000,10.2400,10.2800,10.2400,10.2800,2467600,25310688.0000,3
2025-01-23,20250123103500000,sh.600000,10.2800,10.2900,10.2600,10.2800,819500,8422464.0000,3
2025-01-23,20250123104000000,sh.600000,10.2700,10.2900,10.2700,10.2800,1172400,12053248.0000,3
2025-01-23,20250123104500000,sh.600000,10.2700,10.2900,10.2600,10.2700,681800,7005888.0000,3
2025-01-23,20250123105000000,sh.600000,10.2700,10.2900,10.2600,10.2700,786100,8078368.0000,3
2025-01-23,20250123105500000,sh.600000,10.2800,10.3000,10.2600,10.2900,1660400,17078560.0000,3
2025-01-23,20250123110000000,sh.600000,10.2900,10.3100,10.2600,10.2800,661400,6799392.0000,3
2025-01-23,20250123110500000,sh.600000,10.2700,10.3100,10.2700,10.2900,825700,8496704.0000,3
